0|1|2|3|4|5|6|7|8|source_page|9|10|council|province|district|constituency
PROGRAMME TOTAL||||590,000|497,200|6,554,128|9,772,077|5,148,340|98|22,561,744.90||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To Improved access to Education for all learners by 2034||||||||99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Enhance access to quality, equitable and inclusive education||||||||99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Activities|Location|Target|Target|Target|Target|Target|Responsible Agency|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||(by|Year 1|Year 2|Year 3|Year 4|Year 5||99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||priority)|||||||99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Infrastructure|"Construction of
Classroom blocks (1
x3)"|District|5|5|5|5|5|"LA/ MoGEL
Partners"|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Development|||||||||99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Rehabilitation of
School infrastructure"|District|1|1|1|1|1|"LA/ MoGEL
Partners"|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of School
VIPs"|District|10|10|10|10|10|"LA/ MoGEL
Partners"|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of staff
houses"|District|3|3|3|3|3|"LA/ MoGEL
Partners"|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of school
libraries"|District|0|0|0|0|1|"LA/ MoGEL
Partners"|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of
Science Laboratories"|District|2|1|1|1|1|"LA/ MoGEL
Partners"|99|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||"Purchase of school
desks"|District|2,000|3,000|375|375|375|100|"LA/ MoGEL
Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Upgrading|of|"Write MoGE to
upgrade community
schools"|District||||||100|"LA/ MoGEL
Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Community|||||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Schools|||||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Examination||"Engage MoGE to
designate schools in
the District with
Examination centers"|District|2|2|2|2|2|100|"LA/ MoGEL
Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Centers|||||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective||To improve health and well being of residents of Rufunsa District by 2034|||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy||Public Health Strengthening|||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme||Activities|Location|Target|Target|Target|Target|Target|100|Responsible Agency||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||(by|Year 1|Year 2|Year 3|Year 4|Year 5|100|/ Officers||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||priority)||||||100|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Child Health||"Conduct Cooking
demonstration (Health
Facilities)"|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||Growth monitoring|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||Integrated outreaches|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||"Community
sensitisations"|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||Health Education|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||"Mentorship of Health
Care Providers in
IYCF"|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||"Expanded Program for
Immunisation"|District|34|36|38|40|42|100|"LA/DHO/LPHO/MA
& Partners"||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Formation of District
Nutrition Coordinating
Committees"|District|1|1|1|1|1|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Training of CBVs in
IYCF"|District|34|36|38|40|42|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Promotion of|"Distribution of IEC
materials"|District|6000|7000|8000|9000|10000|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
health education|||||||||101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
across all|"Community
sensitizations"|District|1400|1500|1600|1700|1800|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
communities in|||||||||101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
the district|"Conduct quarterly
Focus Group meetings"|District|200|300|400|500|600|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Quarterly meetings
with community gate
keepers"|District|160|170|180|190|200|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Fire prevention
sensitization"|District|62|65|68|71|74|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Equip existing|Mentorship of CBVs|District|450|470|490|510|555|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
structures in|||||||||101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
communities with|"Distribution of
teaching aids and IEC
materials"|District|34|36|38|40|42|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
health promotion|||||||||101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
skills|||||||||101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Revitalisation of
existing non-
functional
Neighborhood Health
Committees-NHCs"|District|34|36|38|40|42|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Support quarterly
NHCs meetings"|District|590|625|650|700|750|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Procure bicycles for
NHCs"|District|50|100|110|30|30|"LA/DHO/LPHO/MA
& Partners"|101|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Increase access to quality health care by 2034||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Activities|Location|Target|Target|Target|Target|Target|Responsible Agency|102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||(by|Year 1|Year 2|Year 3|Year 4|Year 5||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||priority)|||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Infrastructure|"Construction of Health
Posts"|District|2|2|2|2|2|"LA/DHO/LPHO/MA
& Partners"|102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Development|||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Upgrading of Health
Facilities"|District|5|2|2|2|2||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of
Maternity Wing"|District|2|2|2|2|2|"LA/DHO/LPHO/MA
& Partners"|102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of the
District Hospital"|District|1|0|0|1|0||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of Staff
Houses"|District|2|2|2|2|2||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Incinerator
Construction"|District|2|2|2|2|2||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Purchase of
Ambulance"|Mpanshya|0|0|1|0|0||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
First Aid|"Training of Health care
workers/ drivers/CBVs
in First Aid Promotion"|District|50|20|20|20|20|"LA/DHO/LPHO/MA
& Partners"|102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Promotion|||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To provide improved access to clean water and sanitation by 2034||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Improve access to clean and safe water sources||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Policy and|"Senstization on
management of water
points"|District|12|12|12|12|12|"DWRD /LA/
PARTNERS"|102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
coordination|||||||||102|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Water|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
infrastructure|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
development and|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
maintenance|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|Drilling of Boreholes|District|15|15|15|15|15|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Develop a water pipe
network system"|"Rufunsa
Township"|0|1|1|1|1|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of piped
water schemes at
public institutions (
schools, health centers,
markets and bus
stations)"|District|1|2|10|10|5|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Rehabilitation of
boreholes"|District|12|12|12|12|12|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of water
kiosks and network
extension"|District|1|1|1|1|1|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Maintenance of|"Procurement of tool
kits for Indian Mark II"|District|12|12|12|12|12|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
water points|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Water resources|"Conduct field
appraisals for
rehabilitation of
broken down
boreholes"|District|12|12|12|12|12|LA|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
assessment and|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
quantification|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Water quality|"Procurement of mobile
water testing kits"|District|12|12|12|12|12|"DWRD /LA/
PARTNERS"|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
testing|||||||||103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Conduct water quality
monitoring for existing
water points in the
District"|District|12|12|12|12|12|DWRD /LA|103|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Training &|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Capacity Building|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Increase access to improved sanitation services by 2034||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Activities|Location|Target|Target|Target|Target|Target|Responsible Agency|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||(by|Year 1|Year 2|Year 3|Year 4|Year 5||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||priority)|||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Sanitation|"Construction of
waterborne sanitation
facilities"|"Markets,
Health
Centers
Schools"|2|2|2|2|2|LA / DHO/ Partners|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
infrastructure|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
development|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Upgrading of pit
latrines to water borne
sanitation at public
institutions"|"Markets,
Health
Centers
Schools"||||||LA / DHO/ Partners|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Sanitation and|"CLTS Community
meetings"||4|4|4|4|4|LA / DHO/ Partners|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Personal Hygiene|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Promotion|"conduct quarterly
backstopping visits to
sensitized triggered
villages"||4|4|4|4|4|LA / DHO/ Partners|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To reduce poverty and inequality levels by 2034||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Enhance social Protection of poor and vulnerable people||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Social Cash|"Awareness raising
(Wards)"|District|12|12|12|12|12|Social Welfare|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Transfer|||||||||104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|Disability Certification|District|500|600|700|800|900|Social Welfare|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"listing of potential
beneficiaries"|District|1500|2000|2500|3000|3500|Social Welfare|104|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|enumeration|District|1500|2000|2500|3000|3500|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Second community
validation"|District|1500|2000|2500|3000|3500|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"payments of cash
transfers to
beneficiaries"|District|5391|7391|9891|12891|16391|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Other Administrative
Coasts"||||||||105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Collection Of GRM
Complaint Forms
(CWAC areas)"|District|69|69|72|80|80|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Public Welfare|"identification and
selection of vulnerable
individuals using
PWAS identification
process (Wards)"|District|12|12|12|12|12|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Assistance|||||||||105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Scheme|||||||||105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|Health care support|District|50|100|200|250|300|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Repatriation of
stranded persons"|District|10|15|20|25|30|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Primary and secondary
education support"|District|100|200|300|400|500|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"community vulnerable
support"|District|200|300|400|500|600|Social Welfare|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Women and youth|"Training of Grievance
redress mechanism
Focal Persons"|District|13|13|0|0|0|"Community
Development"|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
empowerment|||||||||105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Grievance redress
mechanism
sensitization"|District|13|13|13|13|13|"Community
Development"|105|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Savings group
formation and
Sensitizations"|District|12|12|12|12|12|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Trainers of Trainers
training workshop in
Revised life, sexual
Reproductive Health
and Business Skills"|District|9|0|0|0|0|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Community based
volunteers training in
revised life, sexual
Reproductive Health
and Business Skills."|District|13|13|13|13|13|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Beneficiary training in
revised life, sexual
Reproductive Health
and Business Skills."|District|281|0|0|0|0|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Conduct training
feedback monitoring"|District|13|13|13|13|13|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Conduct mentorship to
SWL beneficiaries"|District|12|12|12|12|12|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Payment of Grants for
SWL beneficiaries"|District|281|281|0|0|0|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Training of women in
entrepreneurship skills
and provision of grants
for women Clubs"|District|20|25|30|35|40|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Community Self-|"Community
sensitization on"|District|4|4|4|4|4|"Community
Development"|106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
help programs|||||||||106|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Non formal|"Refresher course for
adult literacy
instructors"|District|20|20|20|25|25|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
education|||||||||107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Revamping and
formation of literacy
classes"|District|20|20|20|25|25|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Procure Teaching
material"|District|4|4|4|4|4|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Food Security|"Provision of food
security Pack"|District|1300|1500|1700|1900|2000|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Pack|||||||||107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Sensitization and
orientations of
stakeholders and
communities on FSP
guidelines"|District|11|11|11|11|11|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"community selection
and allocation of
caseloads"|District|11|11|11|11|11|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"targeting beneficiary
households for
support, Listing,
Community
validation, Self-
registration and
Lottery"|District|1300|1500|1700|1900|2000|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Training of Vulnerable
but Viable farmers into
farming methods"|District|1300|1500|1700|1900|2000|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|Distribution of Inputs|District|1300|1500|1700|1900|2000|"Community
Development"|107|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Conduct Harvest
projection"|District|1300|1500|1700|1900|2000|"Community
Development"|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Collection of
Recoveries"|District|1300|1500|1700|1900|2000|"Community
Development"|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Constituency|Empowerment Grants|District|200|200|200|200|200|LA|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Development|Empowerment Loans|District|30|30|30|30|30|LA|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Fund|"Secondary School
Boarding bursaries and
Skills Development"|District|800|800|800|800|800|LA|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Increase access to electricity in rural areas||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Activities|Location|Target|Target|Target|Target|Target|Responsible Agency|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||(by|Year 1|Year 2|Year 3|Year 4|Year 5||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||priority)|||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Rural|electrification of|District||1|1|1|1|LA/REA/ZESCO|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Electrification|unserved communities||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|and public institutions||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To Improved access to Education for all learners by 2034||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Enhance access to quality, equitable and inclusive eductaion||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||Implementing|Source of|cost per year|||||108|Total||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Activities|Agency|Funds|Year 1|Year 2|Year 3|Year 4|Year 5|108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||108|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
"Infrastructure
Development"|"Construction of
Classroom
blocks (1 x3)"|"LA, Cooperating
Partners"|"GRZ,
Cooperating
Partners"|6,325,000|7,273,750|8,364,813|9,619,534|11,062,465|108|42,645,561||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Rehabilitation
of School
infrastructure"|"LA, Cooperating
Partners"|"GRZ,
Cooperating
Partners"|454,250.00|522,387.50|600,745.63|690,857.47|794,486.09|108|3,062,727||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of
staff houses"|"LA, Cooperating
Partners"|"GRZ,
Cooperating
Partners"|2,645,000|3,041,750|3,498,013|4,022,714|4,626,122|109|17,833,598||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of
school libraries"|"LA, Cooperating
Partners"|"GRZ,
Cooperating
Partners"|||||2,011,357.19|109|2,011,357||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of
Science
Laboratories"|"LA, Cooperating
Partners"|"GRZ,
Cooperating
Partners"|2,100,000|1,058,000|1,216,700|1,399,205|1,609,086|109|7,382,991||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Construction of
Computer
Laboratories"|"LA, Cooperating
Partners"|"GRZ,
Cooperating
Partners"|920,000|1,058,000|1,216,700|1,399,205|1,609,086|109|6,202,991||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Purchase of
School Desks"|||3,000,000|4,500,000|562,500|562,500|562,500|109|9,187,500||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme Total||||15,973,250|18,062,238|16,159,073|18,498,559|23,200,325|109|91,893,445||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Objective|To improve health and well being of residents of Rufunsa District by 2034||||||||109|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Strategy|Public Health Strengthening||||||||109|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
||Implementing|Source of|cost per year|||||109|Total||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Programme|Activities|Agency|Funds|Year 1|Year 2|Year 3|Year 4|Year 5|109|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|||||||||109|||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
Child Health|"Conduct
Cooking
demonstration
(Health
Facilities)"|Health Facility|GRZ/Donor|391,000|425,735|451,307|488,805|515,973|109|2,272,819||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Growth
monitoring"|Health Facility|GRZ/Donor|195,500|212,867|225,653|244,402|257,986|109|1,136,409||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Integrated
outreaches"|Health Facility|GRZ/Donor|230,000|250,432|265,475|287,532|303,513|109|1,336,952||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Community
sensitisations"|Health Facility|GRZ/Donor|57,500|62,608|66,369|71,883|75,878|109|334,238||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Mentorship of
Health Care
Providers in
IYCF"|District|GRZ/Donor|46,000|50,086|53,095|57,506|60,703|110|267,390||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Expanded
Program for
Immunisation"|Health Facility|GRZ/Donor|57,500|62,608|66,369|71,883|75,878|110|334,238||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Train 30 Health
Care Providers
in RED/C
strategy"|District|GRZ/Donor|138,000|150,259|159,285|172,519|182,108|110|802,171||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Formation of
District
Nutrition
Coordinating
Committees"|District|GRZ/Donor|9,200|10,017|10,619|11,501|12,141|110|53,478||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Training of
CBVs in IYCF"|District|GRZ/Donor|172,500|187,824|199,106|215,649|227,635|110|1,002,714||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
"Promotion of
health
education
across all
communities in
the district"|"Distribution of
IEC materials"|District/Facility|GRZ/Donor|11,500|12,522|13,274|14,377|15,176|110|66,848||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Community
sensitizations"|District/Facility|GRZ/Donor|5,750|6,261|6,637|7,188|7,588|110|33,424||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Conduct
quarterly Focus
Group meetings"|District/Facility|GRZ/Donor|23,000|25,043|26,547|28,753|30,351|110|133,695||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Quarterly
meetings with
community gate
keepers"|District/Facility|GRZ/Donor|40,250|43,826|46,458|50,318|53,115|110|233,967||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Fire prevention
sensitization"|District/Facility|GRZ/Donor|7,475|8,139|8,628|9,345|9,864|110|43,451||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Distribution of
teaching aids
and IEC
materials"|District|GRZ/Donor|11,500|12,522|13,274|14,377|15,176|111|66,848||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
|"Revitalisation
of existing non-
functional
Neighborhood
Health
Committees-
NHCs"|District|GRZ/Donor|5,750|6,261|6,637|7,188|7,588|111|33,424||Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa
