project_id|ward|zone|project_name|project_description|sector|project_type|beneficiaries|cdf_application_form_yes_no|wdec_recommendation_yes_no|wdc_minutes_yes_no|zonal_minutes_yes_no|council|province|district|constituency|financial_year|source_url|source_document|retrieval_date
64|Namanongo|Nyamanongo|Construction of 1x3 Classroom Block and 3 Toilets at Katembo Primary School|Construction of 1x3 Classroom block and 3 toilets|Education|Classroom Block and Toilets |1000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
65|Namanongo|Ndubulula|Contruction of 1x3 Classroom block at Ndubulula Secondary School|Construction of 1x3 Classroom Block|Education|Classroom Block|600|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
66|Namanongo|Mulobela|Construction of 1x3 Classroom Block at Mulobela Community School|Construction of 1x3 Classroom Block|Education|Classroom Block|600|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
67|Namanongo|Mulobela|Drilling of a Borehole and Hand pump installation at Mulobela|Borehole drilling and hand pump installation |Water|Water sector|600|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
68|Namanongo|Tengama|Construction of ECE Classroom Block and office attached at Tengama Primary|Construction of ECE Classroom block and office|Education|Classroom block and Office|79|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
69|Mwachilele|Mwachilele|Construction of a Staff House at Mwachilele |Construction of a Staff House|Education|Staff House|3000|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
70|Mwachilele|Chipakata|Construction of a Government School at Chipakata|Construction of a government School|Education|School|350|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
71|Mwachilele|Mwachilele|Construction of a community dam in Mwachilele |Construction of a Commnuinty Dam|Agriculture|Dam|4200|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
72|Mwachilele|Chipakata|Construction of a foot bridge and road in Chipakata|Construction of a foot bridge and road|Road |Foot Bridge and Road|350|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
73|Mwachilele|Mwabwindo|Installation of a transformer at Mwabwindo Village|Installation of a Transformer |Energy|Transformer|3000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
74|Mwachilele|Mwachilele|Upgrading of the facility to a clinic at mwachilele|upgrading of a facility to a clinic|Health |Upgrade facility to clinic|6000|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
75|Mwachilele|Mwabwindo|Construction of a health post at Mwabwindo Village |Construction of a Health post|Health |Health Post |3000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
76|Mwachilele|Chipakata|Construction of a clinic and staff house in Chipakata|Construction of a clinic abd staff house|Health |Clinic and Staff House|350|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
77|Mwachilele|Mwachilele|Construction of a police post in Mwachilele community|Construction of a Police Post|Police|Police Post|6000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
78|Bundabunda|Shachileba|Drilling of Boreholes 10 in Shachileba|Drilling of Borehole|Water|Borehole|500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
79|Bundabunda|Chinyunyu|Construction of 1x3 classroom Block at Kalungula Primary School|Construction of 1x3 Classroom Block|Education|Classroom Block|346|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
80|Bundabunda|Kashimpa|Construction of a 1x3 Classroom Block and semi detached Staff House at Kashimpa Primary  School|Construction of 1x3 Classroom Block and a semi detached staff House|Education|Classroom Block and Staff House|2300|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
81|Bundabunda|Chinyunyu|Construction of a staff house at Kalungula Primary School|Construction of a staff house|Education|Staff House|345|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
82|Bundabunda|Chinyunyu|Completion of ECE Classroom Block at Chinyunyu Primary School|Completion of ECE classroom block|Education|Classroom Block|873|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
83|Bundabunda|Chinyunyu|Construction of 1x3 Classroom Block and 2 semi detached staff flats at Chinyunyu Rocs Primary|Construction of 1x3 Classroom Block and 2 semi detached staff flats |Education|Classroom Block and semi detached flats|Nill|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
84|Bundabunda|Chinyunyu|Construction of 1x3 Classroom Block at Chinyunyu Primary School|Construction of 1x3 Classroom Block|Education|Classroom Block|1800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
85|Bundabunda|Chinyunyu|Construction of 1x3 Classroom Block at Chinyunyu Secondary School|Construction of 1x3 Classroom Block|Education|Classroom Block|1800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
86|Bundabunda|Chinyunyu|Construction of 1x3 Classroom Block at Mambilima Primary School|Construction of 1x3 Classroom Block|Education|Classroom Block|720|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
87|Bundabunda|Chinyunyu|Construction of 1x3 Classroom Block and Staff houses at Lusungu Primary School|Construction of 1x3 Classroom Block and Staff Houses|Education|Classroom Block and Staff House|500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
88|Bundabunda|Chitemalesa|Constuction of 1x3 Classroom Block, Staff house and completion of ECE classroom Block at Chitemalesa Primary and Secondary School|Constuction of 1x3 Classroom Block, Staff house and completion of ECE classroom Block|Education|Classroom blocks and staff House|2500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
89|Bundabunda|Chitemalesa|Construction of maternity wing and a semi detached staff house at Chitemalesa Health Post|Construction of maternity wing and a semi detached staff house|Health |Maternity Wing and staff house|3950|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
90|Bundabunda|Chitemalesa|Constuction of 1x3 Classroom Block and semi detached Staff house at Eliot Community School|Constuction of 1x3 Classroom Block and semi detached Staff house|Education|Classroom Block and Staff House|1700|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
91|Bundabunda|Nkalamabwe|Competion of 1x2 Classroom block, Drilling of a borehole and construction of Staff toilets at Nkalamabwe Primary School|Competion of 1x2 Classroom block, Drilling of a borehole and construction of Staff toilets|Education/Water|Water Sector and Classroom Block/Toilets|730|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
92|Bundabunda|Shachileba|Drilling of 21 Boreholes in Shachileba and Chitemalesa|Drilling of 21 Boreholes|Water|Water Sector|4200|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
93|Chitimbwi |Mpanshya|Construction of a rural health post and a semi detached staff house in Kamwesha Community School|Construction of a rural health post and a semi detached staff house in Kamwesha Community School|Health |Staff House|1000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
93|Chintimbwi|Mpanshya|Construction of 1x2 Classroom Block at St. Lukes Nursing School|Construction of 1x2 classrooom Block|Education |Classroom Block|8500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
94|Chintimbwi|Mpanshya|Construction of a water borne sanitation system at Mpanshya Secondary School|Construction of a water borne sanitation system|Water|Water Sector|1000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
