project_id|ward|zone|project_name|project_description|sector|project_type|beneficiaries|cdf_application_form_yes_no|wdec_recommendation_yes_no|wdc_minutes_yes_no|zonal_minutes_yes_no|council|province|district|constituency|financial_year|source_url|source_document|retrieval_date
15|Mankhanda|Lukwipa|Rehabilitation of an incomplete Borehole (fitting of hand pump and other accessories) at Lukwipa  |Rehabilitation of an incomplete Borehole|Water|Water sector|250|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
16|Mankhanda|Lukwipa|Completion of the Girl's dormitory at Lukwipa secondary School|Completion of the Girl's dorminitory |Education|Dorminitory|500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
17|Mankhanda|Lukwipa|200 Bunker beds for Lukwipa secondary school|200 bunker beds|Education|Bunker beds|450|yes|yes|yes|yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
18|Mankhanda|Kampishi|Construction of a staff house 1x2 semi detached block at Kampishi primary school|Construction of a staff house 1x2 semi detached block|Education|Staff House||Yes|Yes|Yes|yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
19|Mankhanda|Menyani Village|Borehole in Menyani Village|Borehole|Water|Water sector|800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
20|Mankhanda|Christian Family Church|Construction of 1x3 classroom block at Mankhanda Primary School|Construction of a 1x3 classroom block|Education|Classroom Block |1500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
21|Mankhanda|Christian Family Church|Drilling of a Borehole in Mwanachoko Village|Drilling of a Borehole|Water|Water sector|600|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
22|Mankhanda|Christian Family Church|Drilling of a Borehole in Njelemu Village|Drilling of a Borehole|Water|Water sector|600|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
23|Mankhanda|Kabasenya|Construction of staff houses and VIP toilet at Shimunguwo|Construction of teachers houses|Education|Staff Houses|205|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
24|Mankhanda|Luangwa Bridge|Construction of a maternity wing at Luangwa Bridge|Construction of a maternity wing|Health |Materninty wing|6000|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
